epoch_count,regression_error,classification_error
1,0.325681,0.684211
2,0.315486,0.684211
3,0.307249,0.684211
4,0.299297,0.684211
5,0.291367,0.605263
6,0.290638,0.684211
7,0.290132,0.684211
8,0.289205,0.684211
9,0.278425,0.684211
10,0.270336,0.657895
11,0.261192,0.657895
12,0.26212,0.684211
13,0.253951,0.447368
14,0.245136,0.447368
15,0.23841,0.447368
16,0.23343,0.263158
17,0.228774,0.263158
18,0.224612,0.263158
19,0.225815,0.263158
20,0.227402,0.552632
21,0.224065,0.526316
22,0.221513,0.5
23,0.223731,0.657895
24,0.226278,0.684211
25,0.224143,0.684211
26,0.21928,0.605263
27,0.21795,0.578947
28,0.213942,0.263158
29,0.213604,0.263158
30,0.210443,0.263158
31,0.210638,0.263158
32,0.211344,0.263158
33,0.211792,0.263158
34,0.212873,0.342105
35,0.213274,0.342105
36,0.214181,0.342105
37,0.214987,0.552632
38,0.211204,0.263158
39,0.212298,0.421053
40,0.213628,0.631579
41,0.21522,0.657895
42,0.215033,0.657895
43,0.211056,0.473684
44,0.211547,0.473684
45,0.207567,0.263158
46,0.208405,0.315789
47,0.209527,0.5
48,0.209813,0.5
49,0.210993,0.631579
50,0.211318,0.631579
51,0.212349,0.657895
52,0.212688,0.657895
53,0.213529,0.657895
54,0.209346,0.631579
55,0.205461,0.315789
56,0.206385,0.289474
57,0.207154,0.5
58,0.20822,0.605263
59,0.2044,0.263158
60,0.205914,0.394737
61,0.206214,0.526316
62,0.207701,0.526316
63,0.203659,0.263158
64,0.205522,0.447368
65,0.205518,0.526316
66,0.205739,0.631579
67,0.206538,0.657895
68,0.207526,0.684211
69,0.207934,0.684211
70,0.208928,0.657895
71,0.204607,0.684211
72,0.206359,0.473684
73,0.208402,0.447368
74,0.211255,0.421053
75,0.214847,0.421053
76,0.219183,0.578947
77,0.22372,0.710526
78,0.220697,0.526316
79,0.22527,0.684211
80,0.219027,0.684211
81,0.216416,0.421053
82,0.221043,0.578947
83,0.226071,0.710526
84,0.231304,0.736842
85,0.223788,0.710526
86,0.220354,0.631579
87,0.225756,0.710526
88,0.230611,0.736842
89,0.236429,0.736842
90,0.227006,0.736842
91,0.232519,0.736842
92,0.238527,0.736842
93,0.244217,0.736842
94,0.234322,0.736842
95,0.22447,0.736842
96,0.23033,0.736842
97,0.236271,0.736842
98,0.242145,0.736842
99,0.232739,0.736842
100,0.23902,0.736842
101,0.23248,0.736842
102,0.226775,0.736842
103,0.218608,0.736842
104,0.214103,0.684211
105,0.205714,0.526316
106,0.210421,0.684211
107,0.216292,0.710526
108,0.207998,0.710526
109,0.213295,0.710526
110,0.219263,0.736842
111,0.211368,0.736842
112,0.21743,0.736842
113,0.223409,0.736842
114,0.229971,0.736842
115,0.236386,0.736842
116,0.226668,0.736842
117,0.216451,0.736842
118,0.211148,0.736842
119,0.203912,0.710526
120,0.210158,0.736842
121,0.216334,0.736842
122,0.211331,0.710526
123,0.201457,0.710526
124,0.194439,0.684211
125,0.189162,0.289474
126,0.194127,0.710526
127,0.19103,0.5
128,0.188452,0.421053
129,0.186449,0.394737
130,0.185203,0.394737
131,0.184399,0.394737
132,0.183874,0.342105
133,0.179306,0.263158
134,0.18186,0.157895
135,0.181493,0.0526316
136,0.177134,0.263158
137,0.179753,0.0263158
138,0.175495,0.263158
139,0.175124,0.263158
140,0.172116,0.263158
141,0.172096,0.263158
142,0.174586,0.263158
143,0.174602,0.263158
144,0.177196,0.131579
145,0.180337,0.394737
146,0.17554,0.184211
147,0.179476,0.394737
148,0.184182,0.421053
149,0.178296,0.315789
150,0.176931,0.236842
151,0.176238,0.105263
152,0.171727,0.263158
153,0.174396,0
154,0.173691,0.0789474
155,0.168865,0.263158
156,0.165625,0.263158
157,0.163218,0.263158
158,0.161993,0.263158
159,0.16137,0.263158
160,0.16052,0.263158
161,0.16132,0.263158
162,0.160509,0.263158
163,0.159694,0.263158
164,0.159415,0.263158
165,0.159755,0.263158
166,0.158991,0.263158
167,0.158641,0.263158
168,0.158647,0.263158
169,0.159523,0.263158
170,0.157586,0.263158
171,0.158901,0.263158
172,0.160771,0.263158
173,0.158581,0.263158
174,0.160951,0.263158
175,0.164386,0.236842
176,0.160825,0.263158
177,0.159673,0.263158
178,0.157475,0.263158
179,0.156054,0.263158
180,0.155594,0.263158
181,0.154378,0.263158
182,0.155056,0.263158
183,0.154537,0.263158
184,0.153551,0.263158
185,0.15345,0.263158
186,0.153627,0.263158
187,0.154873,0.263158
188,0.157185,0.263158
189,0.155347,0.263158
190,0.154122,0.263158
191,0.156624,0.263158
192,0.160547,0.236842
193,0.164401,0
194,0.170177,0.394737
195,0.163848,0.0263158
196,0.162048,0.105263
197,0.166935,0.342105
198,0.161904,0.131579
199,0.166572,0.210526
200,0.164405,0.0526316
201,0.162937,0.0263158
202,0.158539,0.210526
203,0.163355,0.0263158
204,0.168499,0.421053
205,0.173844,0.421053
206,0.166821,0.394737
207,0.160824,0.105263
208,0.156383,0.263158
209,0.160743,0.131579
210,0.165621,0.184211
211,0.163038,0.0263158
212,0.168335,0.394737
213,0.16185,0
214,0.157603,0.236842
215,0.155468,0.236842
216,0.159683,0.0263158
217,0.155684,0.236842
218,0.153858,0.236842
219,0.157644,0.131579
220,0.162968,0.210526
221,0.160915,0.0789474
222,0.165643,0.421053
223,0.171802,0.421053
224,0.163909,0.394737
225,0.161633,0.368421
226,0.155642,0.131579
227,0.16087,0.210526
228,0.166713,0.421053
229,0.173209,0.421053
230,0.166299,0.421053
